exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
AMEX,AIP,2009-11-27,67.77,67.77,67.77,67.77,300,67.77
AMEX,AIP,2009-11-25,68.15,69.60,68.15,69.60,6000,69.60
AMEX,AIP,2009-11-24,67.15,68.75,67.15,68.75,300,68.75
AMEX,AIP,2009-11-23,71.50,71.50,71.50,71.50,400,71.50
AMEX,AIP,2009-11-20,70.22,70.22,68.34,69.83,300,69.83
AMEX,AIP,2009-11-19,72.22,72.22,70.22,70.22,800,70.22
AMEX,AIP,2009-11-18,69.50,69.50,69.50,69.50,000,69.50
AMEX,AIP,2009-11-17,69.50,69.50,69.50,69.50,000,69.50
AMEX,AIP,2009-11-16,69.50,69.50,69.50,69.50,000,69.50
AMEX,AIP,2009-11-13,69.77,69.77,69.50,69.50,1200,69.50
AMEX,AIP,2009-11-12,70.76,70.96,69.90,70.90,4700,70.90
AMEX,AIP,2009-11-11,68.55,68.55,68.55,68.55,100,68.55
AMEX,AIP,2009-11-10,65.40,66.81,65.40,66.81,2200,66.81
AMEX,AIP,2009-11-09,66.00,66.00,64.10,64.10,900,64.10
AMEX,AIP,2009-11-06,60.20,61.35,60.20,61.35,2000,61.35
AMEX,AIP,2009-11-05,60.60,60.60,60.60,60.60,100,60.60
AMEX,AIP,2009-11-04,61.17,61.17,61.17,61.17,000,61.17
AMEX,AIP,2009-11-03,61.17,61.17,61.17,61.17,000,61.17
AMEX,AIP,2009-11-02,61.18,61.18,59.28,61.17,700,61.17
AMEX,AIP,2009-10-30,61.80,62.03,61.80,62.03,400,62.03
AMEX,AIP,2009-10-29,63.80,63.80,61.94,61.94,700,61.94
AMEX,AIP,2009-10-28,66.50,66.50,66.50,66.50,000,66.50
AMEX,AIP,2009-10-27,66.50,66.50,66.50,66.50,000,66.50
AMEX,AIP,2009-10-26,68.50,68.50,65.50,66.50,800,66.50
AMEX,AIP,2009-10-23,67.78,67.78,67.78,67.78,000,67.78
AMEX,AIP,2009-10-22,67.83,68.83,66.05,67.78,1200,67.78
AMEX,AIP,2009-10-21,64.45,65.64,64.45,64.64,1200,64.64
AMEX,AIP,2009-10-20,64.49,64.49,63.00,63.00,500,63.00
AMEX,AIP,2009-10-19,60.00,61.50,60.00,61.50,1600,61.50
AMEX,AIP,2009-10-16,58.75,58.75,58.75,58.75,000,58.75
AMEX,AIP,2009-10-15,57.75,58.75,57.75,58.75,400,58.75
AMEX,AIP,2009-10-14,59.00,59.00,59.00,59.00,400,59.00
AMEX,AIP,2009-10-13,55.50,55.50,55.50,55.50,000,55.50
AMEX,AIP,2009-10-12,55.25,55.50,55.25,55.50,200,55.50
AMEX,AIP,2009-10-09,54.80,54.80,54.80,54.80,100,54.80
AMEX,AIP,2009-10-08,54.42,54.42,54.41,54.41,200,54.41
AMEX,AIP,2009-10-07,54.19,54.19,54.19,54.19,200,54.19
AMEX,AIP,2009-10-06,54.82,54.82,54.82,54.82,000,54.82
AMEX,AIP,2009-10-05,54.82,54.82,54.82,54.82,000,54.82
AMEX,AIP,2009-10-02,54.82,54.82,54.82,54.82,000,54.82
AMEX,AIP,2009-10-01,55.86,55.96,54.82,54.82,500,54.82
